section,arm,eval_index,reason,score,n_scored,n_hypotheses,n_fit_segments,n_heldout_segments,forward_px,n_forward,reverse_px,n_reverse,feet,feet_inside,nn_median_ft
S2,G334B,001617,no_valid_h,-1.000,000000,1563928,000280,000280,-,000000,-,000000,000003,000000,-
S2,ROUTEA,001617,valid,-,000000,000000,000143,000143,12.415,000398,265.490,008135,000003,000000,3.739
S2,ROUTEB,001617,valid,-,000000,000000,000280,000280,4.775,000398,259.549,011545,000003,000000,3.739
S2,G334A,001715,too_few_groups,-1.000,000000,000000,000000,000000,-,000000,-,000000,000000,000000,-
S2,G334B,001715,too_few_groups,-1.000,000000,000000,000000,000000,-,000000,-,000000,000000,000000,-
S2,ROUTEA,001715,valid,-,000000,000000,000000,000000,-,000398,-,000000,000000,000000,-
S2,ROUTEB,001715,valid,-,000000,000000,000000,000000,-,000398,-,000000,000000,000000,-
S2,G334A,001813,no_valid_h,-1.000,000000,484260,000081,000080,-,000000,-,000000,000000,000000,-
S2,G334B,001813,no_valid_h,-1.000,000000,1469032,000274,000273,-,000000,-,000000,000000,000000,-
S2,ROUTEA,001813,valid,-,000000,000000,000081,000080,16.235,000398,190.723,004916,000000,000000,-
S2,ROUTEB,001813,valid,-,000000,000000,000274,000273,9.171,000398,233.617,009524,000000,000000,-
S2,G334A,001911,no_valid_h,0.174,000083,502328,000430,000430,-,000000,-,000000,000004,000000,-
S2,G334B,001911,no_valid_h,-1.000,000000,1729672,000836,000835,-,000000,-,000000,000004,000000,-
S2,ROUTEA,001911,valid,-,000000,000000,000430,000430,28.243,000398,365.735,022173,000004,000000,135.741
S2,ROUTEB,001911,valid,-,000000,000000,000836,000835,16.109,000398,347.461,031650,000004,000000,135.741
S2,G334A,002009,valid,0.401,000066,534776,000428,000427,18.145,000066,590.219,023554,000003,000000,11.937
S2,G334B,002009,no_valid_h,-1.000,000000,1519340,000818,000818,-,000000,-,000000,000003,000000,-
S2,ROUTEA,002009,valid,-,000000,000000,000428,000427,25.262,000398,362.000,023554,000003,000000,141.837
S2,ROUTEB,002009,valid,-,000000,000000,000818,000818,10.505,000398,351.129,033689,000003,000000,141.837
S2,G334A,002107,no_valid_h,-1.000,000000,599396,000387,000386,-,000000,-,000000,000003,000000,-
S2,G334B,002107,no_valid_h,-1.000,000000,1704100,000757,000757,-,000000,-,000000,000003,000000,-
S2,ROUTEA,002107,valid,-,000000,000000,000387,000386,9.964,000003,148.025,021844,000003,000000,265.309
S2,ROUTEB,002107,valid,-,000000,000000,000757,000757,2.324,000003,141.340,029140,000003,000000,265.309
S2,G334A,002205,valid,0.571,000114,559276,000382,000381,0.000,000114,79.139,023038,000005,000005,19.931
S2,G334B,002205,no_valid_h,-1.000,000000,1645180,000787,000786,-,000000,-,000000,000005,000000,-
S2,ROUTEA,002205,valid,-,000000,000000,000382,000381,1.910,000003,159.485,023038,000005,000000,473.720
S2,ROUTEB,002205,valid,-,000000,000000,000787,000786,1.910,000003,155.665,033011,000005,000000,473.720
S2,G334A,002303,valid,0.339,000117,587316,000405,000405,4.775,000117,404.921,022799,000005,000000,64.897
