window_id,frame,state,source,age_frames,confidence,owner_id,abstention_reason,nearest_distance_px,motion_cosine,motion_ratio,prerequisite_available,join_source,ball_shift
eurocup-Y6POC6V1Y5E_s3483,000610,ABSENT,none,1,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s3483,000611,ABSENT,none,2,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s3483,000612,INFERRED,inferred,3,,,no_player_in_radius,,,,0,px,0
eurocup-Y6POC6V1Y5E_s3483,000613,ABSENT,none,4,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s3483,000614,ABSENT,none,5,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s3483,000615,ABSENT,none,6,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s3483,000616,ABSENT,none,7,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s3483,000617,ABSENT,none,8,,,no_ball,,,,0,px,0
eurocup-Y6POC6V1Y5E_s3483,000618,INFERRED,inferred,9,,,no_player_in_radius,,,,0,px,0
eurocup-Y6POC6V1Y5E_s3483,000619,ABSENT,none,10,,,no_ball,,,,0,px,0
