geometry,sigma_px,draw,seed,baseline_gap_px,a_gap_px,b_gap_px,a_improvement_px,b_improvement_px,n_supports,n_kept,rounds_run,n_fev,status
G2_WIDE,0.25,16,4245826383,0.144133,0.144801,0.143762,-0.000667,0.000371,568,568,2,6,ok
G2_WIDE,0.25,17,3572001617,0.197248,0.143218,0.150758,0.054030,0.046490,567,567,2,8,ok
G2_WIDE,0.25,18,1319314529,0.238737,0.133368,0.144046,0.105370,0.094691,567,567,2,7,ok
G2_WIDE,0.25,19,4182001028,0.196276,0.222584,0.213009,-0.026308,-0.016734,567,567,2,8,ok
G2_WIDE,0.25,20,3930379815,0.394780,0.407427,0.405688,-0.012647,-0.010908,567,567,2,7,ok
G2_WIDE,0.25,21,2588715036,0.223581,0.144931,0.163698,0.078651,0.059884,567,567,2,6,ok
G2_WIDE,0.25,22,498224986,0.334768,0.383878,0.366698,-0.049110,-0.031930,567,567,2,6,ok
G2_WIDE,0.25,23,954733609,0.378129,0.250887,0.265716,0.127242,0.112412,568,568,3,9,ok
G2_WIDE,0.25,24,1055670345,0.524981,0.355732,0.379821,0.169249,0.145160,567,567,2,7,ok
G2_WIDE,0.25,25,1481500676,0.224820,0.229639,0.229354,-0.004819,-0.004534,568,568,2,7,ok
G2_WIDE,0.25,26,3705892273,0.381382,0.220542,0.257684,0.160840,0.123699,567,567,2,7,ok
