audit_id,rank,x_px,y_px,nearest_target_distance_px,on_any_target
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,47,1625,977,161.820889,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,48,657,963,708.406663,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,49,1170,963,225.639092,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,50,1359,1001,170.105849,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,51,1235,980,190.065778,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,52,440,977,924.599913,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,53,1256,997,192.262841,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,54,1431,979,167.296145,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,55,1690,963,120.784933,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,56,1266,985,176.875663,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,57,1385,993,165.130252,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,58,1625,963,150.711645,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,59,1670,975,138.351003,False
