geometry,sigma_px,draw,symmetry_class,objective_j,source_element,enumeration_rank,candidate_hypotheses_count,deduplicated_symmetry_images_count
G2_WIDE,0.25,6,0,0.7368178631193075,identity,1,108288,11667
G2_WIDE,0.25,6,0,0.7368178631193075,identity,5,108288,11667
G2_WIDE,0.25,6,0,0.7368177864419755,identity,4,108288,11667
G2_WIDE,0.25,6,0,0.7364179908330716,identity,8,108288,11667
G2_WIDE,0.25,6,0,0.7364179141557397,mirror_x,2,108288,11667
G2_WIDE,0.25,6,0,0.7364179141557397,mirror_x,6,108288,11667
G2_WIDE,0.25,6,0,0.7360180418695038,mirror_x,7,108288,11667
G2_WIDE,0.25,6,0,0.7356180929059359,mirror_x,3,108288,11667
G2_WIDE,0.25,9,0,0.7625169610258323,identity,3,109936,7042
G2_WIDE,0.25,9,0,0.7621170120622645,identity,1,109936,7042
G2_WIDE,0.25,9,0,0.761943491260011,mirror_x,4,109936,7042
G2_WIDE,0.25,9,0,0.7615436189737751,mirror_x,2,109936,7042
G2_WIDE,0.25,9,0,0.759491120151539,identity,6,109936,7042
G2_WIDE,0.25,9,0,0.7587971136198571,mirror_x,7,109936,7042
G2_WIDE,0.25,9,0,0.7587749538709171,identity,8,109936,7042
G2_WIDE,0.25,9,0,0.7587442062607962,mirror_x,5,109936,7042
G2_WIDE,0.25,12,0,0.8053444713803392,identity,7,106580,14624
G2_WIDE,0.25,12,0,0.8053444713803392,mirror_x,8,106580,14624
G2_WIDE,0.25,12,0,0.805283972965413,identity,6,106580,14624
G2_WIDE,0.25,12,0,0.8051179665416929,mirror_x,5,106580,14624
G2_WIDE,0.25,12,0,0.8047180942554569,mirror_x,2,106580,14624
G2_WIDE,0.25,12,0,0.8046575958405308,identity,3,106580,14624
G2_WIDE,0.25,12,0,0.8046575958405308,mirror_x,4,106580,14624
G2_WIDE,0.25,12,0,0.8042577235542949,identity,1,106580,14624
G2_WIDE,0.25,15,0,0.825852897298995,identity,1,116000,6397
G2_WIDE,0.25,15,0,0.825852897298995,mirror_x,3,116000,6397
G2_WIDE,0.25,15,0,0.825852897298995,identity,5,116000,6397
G2_WIDE,0.25,15,0,0.825852897298995,identity,7,116000,6397
G2_WIDE,0.25,15,0,0.8242607691779209,mirror_x,2,116000,6397
G2_WIDE,0.25,15,0,0.8242607691779209,identity,4,116000,6397
G2_WIDE,0.25,15,0,0.8242607691779209,mirror_x,6,116000,6397
G2_WIDE,0.25,15,0,0.8242607691779209,mirror_x,8,116000,6397
G2_WIDE,0.25,18,0,0.8445811056012484,mirror_x,1,120468,7408
G2_WIDE,0.25,18,0,0.8445811056012484,mirror_x,3,120468,7408
